UF;MUNICIPIO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO;ANO
MG;MUTUM;10322;3463;0;267;22;644;67;0;141;34;5112;362;93;0;59;39;0;1;0;0;8;10;2016
MG;MUZAMBINHO;14120;7888;0;508;38;1504;325;0;20;100;3303;149;54;0;112;60;10;2;0;0;1;46;2016
MG;NACIP RAYDAN;544;189;0;12;0;32;9;0;1;1;288;8;4;0;0;0;0;0;0;0;0;0;2016
MG;NANUQUE;20268;6638;0;597;34;1333;252;0;46;74;9050;1380;227;0;528;59;7;0;0;0;7;36;2016
MG;NAQUE;1722;938;0;47;11;140;25;0;10;3;464;12;25;0;32;10;0;0;0;0;2;3;2016
MG;NATALANDIA;1014;415;0;32;4;56;8;0;10;2;409;16;21;0;32;9;0;0;0;0;0;0;2016
MG;NATERCIA;2399;1179;0;101;4;228;49;0;21;15;739;11;23;0;19;3;0;0;0;0;5;2;2016
MG;NAZARENO;3705;2090;0;213;15;332;85;0;4;18;789;35;39;0;55;20;0;0;0;2;1;7;2016
MG;NEPOMUCENO;12533;7562;0;499;76;1021;346;0;9;62;2493;79;123;0;124;102;6;2;0;1;2;26;2016
MG;NINHEIRA;2324;723;0;61;10;165;23;0;2;10;1179;88;41;0;12;7;0;1;0;0;0;2;2016
MG;NOVA BELEM;1089;262;0;38;1;68;9;0;0;2;632;49;14;0;5;8;0;0;0;0;1;0;2016
MG;NOVA ERA;7944;4794;0;271;150;656;163;0;27;51;1318;81;80;0;83;233;0;0;0;0;3;34;2016
MG;NOVA LIMA;46440;27144;0;1751;349;3605;2255;0;41;388;8105;697;250;0;401;297;0;4;0;40;13;1100;2016
MG;NOVA MODICA;858;249;0;22;0;50;9;0;1;4;485;15;14;0;9;0;0;0;0;0;0;0;2016
MG;NOVA PONTE;5899;3461;0;269;80;598;128;0;14;60;636;85;74;0;334;120;7;1;0;2;9;21;2016
MG;NOVA PORTEIRINHA;2299;555;0;47;1;163;20;0;20;5;1253;162;20;0;50;1;0;0;0;0;0;2;2016
MG;NOVA RESENDE;12569;5776;0;432;15;1186;158;0;3;30;4616;101;86;0;104;21;2;1;0;0;3;35;2016
MG;NOVA SERRANA;41968;18980;0;617;38;3415;595;0;46;75;14600;2205;134;0;948;48;41;1;0;0;14;211;2016
MG;NOVA UNIAO;2746;1413;0;204;10;343;88;0;4;10;589;23;25;0;25;6;0;3;0;0;0;3;2016
MG;NOVO CRUZEIRO;7956;1957;0;221;3;710;94;0;19;50;4594;89;161;0;41;4;0;0;0;0;3;10;2016
MG;NOVO ORIENTE DE MINAS;1847;595;0;46;1;169;17;0;11;36;904;23;22;0;22;1;0;0;0;0;0;0;2016
MG;NOVORIZONTE;1523;374;0;77;2;100;7;0;0;1;908;17;24;0;8;5;0;0;0;0;0;0;2016
MG;OLARIA;699;362;0;23;2;48;22;0;2;8;202;2;9;0;11;3;0;0;0;0;0;5;2016
MG;OLHOS-D'AGUA;1595;573;0;93;17;191;22;0;0;16;579;18;48;0;17;16;0;0;0;1;0;4;2016
MG;OLIMPIO NORONHA;695;436;0;28;1;47;21;0;0;11;124;11;10;0;4;0;1;0;0;0;1;0;2016
MG;OLIVEIRA;20885;11038;0;799;188;1654;476;0;25;116;4735;1136;139;0;323;163;3;1;0;0;12;77;2016
MG;OLIVEIRA FORTES;539;287;0;28;1;25;18;0;1;3;157;6;3;0;9;0;0;0;0;0;0;1;2016
MG;ONCA DE PITANGUI;952;415;0;26;0;70;13;0;0;13;383;12;15;0;5;0;0;0;0;0;0;0;2016
MG;ORATORIOS;1631;658;0;101;2;108;21;0;6;6;652;33;24;0;15;1;0;0;0;0;1;3;2016
MG;ORIZANIA;2817;1368;0;92;3;238;51;0;4;14;969;45;15;0;12;3;0;0;0;0;0;3;2016
MG;OURO BRANCO;20678;13057;0;553;113;1470;529;0;37;140;3719;298;215;0;240;133;3;3;0;20;9;139;2016
MG;OURO FINO;19177;11612;0;680;52;1575;492;0;8;112;4079;131;119;0;155;77;5;2;0;2;4;72;2016
MG;OURO PRETO;33323;19992;0;1058;227;2749;1049;1;31;272;6435;273;286;0;284;335;1;5;0;3;18;304;2016
MG;OURO VERDE DE MINAS;1843;595;0;28;0;174;25;0;15;5;964;23;9;0;4;0;0;0;0;0;0;1;2016
MG;PADRE CARVALHO;935;344;0;29;2;60;11;0;0;9;428;12;30;0;6;3;0;0;0;0;0;1;2016
MG;PADRE PARAISO;6053;2438;0;154;18;529;104;0;7;84;2390;162;75;0;45;26;11;0;0;0;1;9;2016
MG;PAI PEDRO;1199;280;0;20;0;59;7;0;1;4;771;13;31;0;11;0;0;0;0;1;1;0;2016
MG;PAINEIRAS;2359;1198;0;87;5;274;35;0;3;21;626;51;12;0;39;4;4;0;0;0;0;0;2016
MG;PAINS;3916;2037;0;267;101;362;55;0;6;21;723;122;30;0;66;108;0;0;0;0;0;18;2016
MG;PAIVA;442;238;0;12;0;35;16;0;0;4;124;5;2;0;6;0;0;0;0;0;0;0;2016
MG;PALMA;2594;1165;0;118;11;183;32;0;6;9;876;135;9;0;35;9;1;0;0;1;0;4;2016
MG;PALMOPOLIS;1286;266;0;23;1;110;13;0;0;12;821;13;18;0;7;2;0;0;0;0;0;0;2016
MG;PAPAGAIOS;7162;2790;0;581;85;576;98;0;45;15;2316;403;68;0;87;80;0;1;0;1;9;7;2016
MG;PARA DE MINAS;59535;26528;0;2434;331;5048;1188;0;433;190;16841;4635;240;0;916;447;5;9;0;10;34;246;2016
MG;PARACATU;42107;21939;0;1619;334;4311;709;0;128;195;8462;2210;414;0;1136;450;22;1;0;6;63;108;2016
MG;PARAGUACU;10849;5781;0;345;51;1074;269;0;14;57;2705;248;47;0;135;83;0;2;0;0;4;34;2016
MG;PARAISOPOLIS;9854;6094;0;386;52;783;218;0;18;56;1902;64;49;0;89;85;0;1;0;1;1;55;2016
MG;PARAOPEBA;11502;5833;0;477;192;1035;197;0;289;37;2297;394;58;0;274;387;0;2;0;0;9;21;2016
MG;PASSA QUATRO;7480;4304;0;408;19;548;262;0;14;44;1627;48;29;0;96;23;4;0;0;1;1;52;2016
MG;PASSA TEMPO;3937;2308;0;226;31;348;70;0;5;40;779;33;26;0;30;30;0;1;0;1;2;7;2016
MG;PASSA VINTE;2046;1052;0;283;8;244;80;0;2;32;276;10;14;0;32;4;0;1;0;0;1;7;2016
