Número REDS;Órgão Unidade Registro;Unidade Área Militar;Unid Registro Nível 6;Código Subclasse Nat Principal;Tentado/Consumado Nat Principal;Logradouro Ocorrência - Tipo;Logradouro Ocorrência;Logradouro Ocorrência Não Cadastrado;Logradouro Cruzamento;Logradouro Cruzamento Não Cadastrado;Número Logradouro;Bairro;Bairro Não Cadastrado;Complemento Endereço;Ponto de Referência;Município;Latitude;Longitude;Situação Arma;Tipo Arma;Data Fato;Horário Fato;Qtde  Armas de Fogo
2019-004853174-001;POLICIA MILITAR;60 BPM/7 RPM;279 CIA PM/60 BPM/7 RPM;E03012;CONSUMADO;RUA;ZACARIAS GUIMARAES;;PREENCHIMENTO OPCIONAL;;1385;SAO GERALDO IL;;;;NOVA SERRANA;-19,88029560;-44,96960980;APREENDIDO;REVOLVER;31/01/2019;19:23:00;1
2019-004860163-001;POLICIA MILITAR;3 PEL/139 CIA PM/23 BPM/7 RPM;139 CIA PM/23 BPM/7 RPM;C01157;TENTADO;RUA;ITAGUARA;;PREENCHIMENTO OPCIONAL;;35.0000;CENTRO;;;;CLAUDIO;-20,44394630;-44,76607250;APREENDIDO;REVOLVER;31/01/2019;18:35:00;1
2019-004893897-001;POLICIA MILITAR;INVÁLIDO;19 CIA PM IND/7 RPM;B01147;CONSUMADO;RODOVIA;INVÁLIDO;BR 352;PREENCHIMENTO OPCIONAL;;0;INVÁLIDO;;;;PARA DE MINAS;;;APREENDIDO;ESPINGARDA / ESCOPETA;01/02/2019;00:35:35;1
2019-004893897-001;POLICIA MILITAR;INVÁLIDO;19 CIA PM IND/7 RPM;B01147;CONSUMADO;RODOVIA;INVÁLIDO;BR 352;PREENCHIMENTO OPCIONAL;;0;INVÁLIDO;;;;PARA DE MINAS;;;APREENDIDO;REVOLVER;01/02/2019;00:35:35;1
2019-004899866-001;POLICIA MILITAR;3 PEL/280 CIA PM/60 BPM/7 RPM;280 CIA PM/60 BPM/7 RPM;C01157;TENTADO;RUA;JOAO CECILIO DOS SANTOS;;PREENCHIMENTO OPCIONAL;;423;MORADA DO SOL;;;;PITANGUI;-19,67985600;-44,90059020;APREENDIDO;REVOLVER;31/01/2019;22:00:00;1
2019-004900113-001;POLICIA MILITAR;3 PEL/280 CIA PM/60 BPM/7 RPM;60 BPM/7 RPM;K99000;CONSUMADO;RUA;JOAO CECILIO DOS SANTOS;;PREENCHIMENTO OPCIONAL;;413;MORADA DO SOL;;;;PITANGUI;-19,67981620;-44,90050830;APREENDIDO;PISTOLA;01/02/2019;02:04:40;1
2019-004911414-001;POLICIA MILITAR;141 CIA PM/7 BPM/7 RPM;141 CIA PM/7 BPM/7 RPM;Y10001;CONSUMADO;FAZENDA;MARMELADA;;PREENCHIMENTO OPCIONAL;;0;INVÁLIDO;;;;ABAETE;-19,16700000;-45,55152800;APREENDIDO;CARABINA / RIFLE;01/02/2019;07:08:25;1
2019-004911414-001;POLICIA MILITAR;141 CIA PM/7 BPM/7 RPM;141 CIA PM/7 BPM/7 RPM;Y10001;CONSUMADO;FAZENDA;MARMELADA;;PREENCHIMENTO OPCIONAL;;0;INVÁLIDO;;;;ABAETE;-19,16700000;-45,55152800;APREENDIDO;ESPINGARDA / ESCOPETA;01/02/2019;07:08:25;1
2019-004911414-001;POLICIA MILITAR;141 CIA PM/7 BPM/7 RPM;141 CIA PM/7 BPM/7 RPM;Y10001;CONSUMADO;FAZENDA;MARMELADA;;PREENCHIMENTO OPCIONAL;;0;INVÁLIDO;;;;ABAETE;-19,16700000;-45,55152800;APREENDIDO;ESPINGARDA POLVEIRA;01/02/2019;07:08:25;1
2019-004911414-001;POLICIA MILITAR;141 CIA PM/7 BPM/7 RPM;141 CIA PM/7 BPM/7 RPM;Y10001;CONSUMADO;FAZENDA;MARMELADA;;PREENCHIMENTO OPCIONAL;;0;INVÁLIDO;;;;ABAETE;-19,16700000;-45,55152800;APREENDIDO;GARRUCHA;01/02/2019;07:08:25;2
