Unid Registro Nível 6;TIPO
2 PEL MAMB/7 CIA PM MAMB/BPM MAMB ;CPMAMB
1 CIA ROTAM/BTL ROTAM/CPE ;CPE
6 GP/2 PEL MAMB/15 CIA PM MAMB/BPM MAMB ;CPMAMB
2 GP/2 PEL RV/10 CIA PM RV/BPMRV/CPRV ;CPRV
3 GP/1 PEL PM RV/11 CIA PM RV/BPMRV ;CPRV
1 GP/4 PEL RV/11 CIA PM RV/BPMRV ;CPRV
10 CIA PM MAMB/BPM MAMB/CPMAMB ;CPMAMB
2 GP/2 PEL PM RV/17 CIA PM RV/BPMRV/CPRV ;CPRV
1 GP/2 PEL MAMB/10 CIA PM MAMB/BPM MAMB ;CPMAMB
1 GP/2 PEL MAMB/6 CIA PM MAMB/BPM MAMB ;CPMAMB
1 PEL MAMB/4 CIA PM MAMB/BPM MAMB/CPMAMB ;CPMAMB
4 GP/2 PEL MAMB/17 CIA PM MAMB/BPM MAMB ;CPMAMB
2 GP/2 PEL MAMB/15 CIA PM MAMB/BPM MAMB ;CPMAMB
1 GP/2 PEL MAMB/4 CIA PM MAMB/BPM MAMB ;CPMAMB
1 GP/2 PEL MAMB/17 CIA PM MAMB/BPM MAMB ;CPMAMB
1 GP/1 PEL RV/18 CIA PM RV/BPMRV/CPRV ;CPRV
3 GP/2 PEL MAMB/13 CIA PM MAMB/BPM MAMB ;CPMAMB
3 GP/2 PEL MAMB/5 CIA PM MAMB/BPM MAMB ;CPMAMB
2 PEL MAMB/1 CIA PM MAMB/BPM MAMB/CPMAMB ;CPMAMB
2 GP/2 PEL MAMB/7 CIA PM MAMB/BPM MAMB ;CPMAMB
1 GP/2 PEL MAMB/7 CIA PM MAMB/BPM MAMB ;CPMAMB
1 GP/1 PEL MAMB/7 CIA PM MAMB/BPM MAMB ;CPMAMB
2 CIA PCHQ/BPCHQ/CPE ;CPE
2 PEL MAMB/16 CIA PM MAMB/BPM MAMB ;CPMAMB
2 GP/2 PEL MAMB/16 CIA PM MAMB/BPM MAMB ;CPMAMB
5 GP/2 PEL MAMB/18 CIA PM MAMB/BPM MAMB ;CPMAMB
3 PEL MAMB/BPM MAMB/CPMAMB ;CPMAMB
2 GP/1 PEL MAMB/7 CIA PM MAMB/BPM MAMB ;CPMAMB
3 GP/1 PEL RV/17 CIA PM RV/BPMRV/CPRV ;CPRV
1 GP/3 PEL MAMB/11 CIA PM MAMB/BPM MAMB ;CPMAMB
4 GP/3 PEL MAMB/12 CIA PM MAMB/BPM MAMB ;CPMAMB
4 GP/1 PEL MAMB/10 CIA PM MAMB/BPM MAMB ;CPMAMB
3 GP/1 PEL MAMB/8 CIA PM MAMB/BPM MAMB ;CPMAMB
1 GP/3 PEL MAMB/5 CIA PM MAMB/BPM MAMB ;CPMAMB
3 GP/3 PEL PM RV/11 CIA PM RV/BPMRV ;CPRV
5 CIA PM RV/BPMRV/CPRV ;CPRV
1 GP/1 PEL MAMB/17 CIA PM MAMB/BPM MAMB ;CPMAMB
1 PEL MAMB/17 CIA PM MAMB/BPM MAMB ;CPMAMB
6 GP/3 PEL MAMB/7 CIA PM MAMB/BPM MAMB ;CPMAMB
1 CIA PCHQ/BPCHQ/CPE ;CPE
3 PEL/3 CIA PCHQ/BPCHQ/CPE ;CPE
3 CIA PCHQ/BPCHQ/CPE ;CPE
2 GP/2 PEL MAMB/18 CIA PM MAMB/BPM MAMB ;CPMAMB
2 ESQ PMONT/RCAT/CPE ;CPE
2 GP/1 PEL MAMB/11 CIA PM MAMB/BPM MAMB ;CPMAMB
3 GP/2 PEL RV/11 CIA PM RV/BPRV ;CPRV
1 PEL RV/15 CIA PM RV/BPMRV/CPRV ;CPRV
3 GP/1 PEL MAMB/17 CIA PM MAMB/BPM MAMB ;CPMAMB
2 PEL MAMB/8 CIA PM MAMB/BPM MAMB ;CPMAMB
2 GP/1 PEL MAMB/4 CIA PM MAMB/BPM MAMB ;CPMAMB
7 CIA PM RV/BPMRV/CPRV ;CPRV
3 PEL/1 CIA PCHQ/BPCHQ/CPE ;CPE
2 CIA ROTAM/BTL ROTAM/CPE ;CPE
1 GP/1 PEL MAMB/10 CIA PM MAMB/BPM MAMB ;CPMAMB
4 GP/3 PEL MAMB/7 CIA PM MAMB/BPM MAMB ;CPMAMB
2 GP/3 PEL MAMB/12 CIA PM MAMB/BPM MAMB ;CPMAMB
1 PEL/2 CIA PCHQ/BPCHQ/CPE ;CPE
3 GP/3 PEL MAMB/11 CIA PM MAMB/BPM MAMB ;CPMAMB
3 PEL/2 CIA PCHQ/BPCHQ/CPE ;CPE
2 GP/2 PEL MAMB/17 CIA PM MAMB/BPM MAMB ;CPMAMB
2 GP/3 PEL MAMB/5 CIA PM MAMB/BPM MAMB ;CPMAMB
1 GP/1 PEL MAMB/15 CIA PM MAMB/BPM MAMB ;CPMAMB
1 GP/3 PEL MAMB/7 CIA PM MAMB/BPM MAMB ;CPMAMB
2 PEL/3 CIA PCHQ/BPCHQ/CPE ;CPE
1 GP/3 PEL MAMB/12 CIA PM MAMB/BPM MAMB ;CPMAMB
2 PEL/2 CIA PCHQ/BPCHQ/CPE ;CPE
2 GP/1 PEL RV/4 CIA PM RV/BPMRV/CPRV ;CPRV
2 GP/2 PEL MAMB/9 CIA PM MAMB/BPM MAMB ;CPMAMB
4 GP/2 PEL MAMB/11 CIA PM MAMB/BPM MAMB ;CPMAMB
2 GP/1 PEL MAMB/13 CIA PM MAMB/BPM MAMB ;CPMAMB
2 GP/3 PEL MAMB/4 CIA PM MAMB/BPM MAMB ;CPMAMB
12 CIA PM RV/BPMRV/CPRV ;CPRV
3 GP/3 PEL MAMB/12 CIA PM MAMB/BPM MAMB ;CPMAMB
BPM MAMB/CPMMAB ;CPMAMB
2 GP/2 PEL MAMB/8 CIA PM MAMB/BPMAMB ;CPMAMB
